id,name,category
2269,Binance CEX,CEX
182,Lido,Liquid Staking
2272,OKX,CEX
2275,Bitfinex,CEX
3732,Robinhood,CEX
1599,AAVE V3,Lending
3107,EigenLayer,Restaking
2286,Bybit,CEX
2,WBTC,Bridge
3777,Arbitrum Bridge,Chain
2270,Crypto-com,CEX
2626,ether.fi Stake,Liquid Restaking
494,JustLend,Lending
5033,Binance Bitcoin,Bridge
2914,Binance staked ETH,Liquid Staking
2276,HTX,CEX
118,MakerDAO,CDP
2352,Bitget,CEX
2273,Deribit,CEX
2314,Gate-io,CEX
1541,Portal,Bridge
2293,Bitmex,CEX
3780,Base Bridge,Chain
4133,Ethena,Basis Trading
2929,Spark,Lending
3784,Optimism Bridge,Chain
3543,Bitstamp,CEX
382,Pendle,Yield
2198,Uniswap V3,Dexes
694,JustCryptos,Bridge
3545,Kraken,CEX
2274,Kucoin,CEX
2308,Jito,Liquid Staking
240,Polygon Bridge & Staking,Chain
900,Rocket Pool,Liquid Staking
4757,Symbiotic,Restaking
2197,Uniswap V2,Dexes
4238,Zircuit Staking,Farm
214,Raydium,Dexes
5258,Babylon,Restaking
4025,Morpho Blue,Lending
2088,Compound V3,Lending
3770,Kamino Lend,Lending
3,Curve DEX,Dexes
212,Venus Core Pool,Lending
3882,mETH Protocol,Liquid Staking
3933,Renzo,Liquid Restaking
4075,Eigenpie,Liquid Restaking
3946,Kelp rsETH,Liquid Restaking
2295,SwissBorg,CEX
4077,Jupiter Perpetual Exchange,Derivatives
4371,Sanctum Validator LSTs,Liquid Staking
4481,Hyperliquid Bridge,Bridge
2862,Hyperliquid Perp,Derivatives
194,PancakeSwap AMM,Dexes
4620,SolvBTC,Bridge
319,Convex Finance,Yield
4440,Ronin Bridge,Chain
4124,Merlins Seal,Bridge
484,Marinade Liquid Staking,Liquid Staking
4236,Blast Bridge,Chain
4840,ether.fi Vaults,Liquid Restaking
4947,Ignition FBTC,Bridge
3787,Starknet Bridge,Chain
5135,Binance Staked SOL,Liquid Staking
4461,Swell L2 Farm,Farm
5097,Lombard,Restaked BTC
4473,Avalon Finance,Lending
4593,Free Protocol,Bridge
2611,Balancer V2,Dexes
3075,MEXC,CEX
2305,MaskEX,CEX
4524,Aerodrome Slipstream,Dexes
2301,Korbit,CEX
4996,Jupiter Staked SOL,Liquid Staking
5194,Corn Kernels,Farm
3782,Mantle Bridge,Chain
4832,DeSyn Liquid Strategy,Yield Aggregator
4460,Karak,Restaking
5229,SolvBTC LSTs,Restaked BTC
111,AAVE V2,Lending
970,Drift Trade,Derivatives
4756,Mellow LRT,Liquid Restaking
3779,Avalanche Core Bridge,Chain
4795,HashKey Exchange,CEX
1044,Stader,Liquid Staking
114,Compound V2,Lending
3572,Solv Funds,RWA
5316,exSat Credit Staking,Restaking
3594,Coinbase Wrapped Staked ETH,Liquid Staking
3672,Marinade Native,Staking Pool
129,xDAI Stake Bridge,Chain
148,Tornado Cash,Privacy
5351,Mantle Restaking,Liquid Restaking
3866,Rainbow Bridge,Chain
4863,Tether Gold,RWA
4429,ether.fi Liquid,Yield Aggregator
3665,Maker RWA,RWA
3450,Aerodrome V1,Dexes
4696,Pell Network,Restaking
2542,Ondo Finance,RWA
690,SUNSwap V1,Dexes
4167,Fluid Lending,Lending
2995,PulseX V1,Dexes
3698,Hashnote USYC,RWA
2435,Nexo,CEX
3781,Linea Bridge,Chain
4088,Puffer Finance,Liquid Restaking
691,JustStables,CDP
3365,GMX V2 Perps,Derivatives
277,StakeWise V2,Liquid Staking
4882,Usual Money,RWA
2769,PancakeSwap AMM V3,Dexes
4972,Core Bitcoin Bridge,Bridge
3788,zkSync Era txBridge,Chain
3783,Metis Bridge,Chain
4862,Paxos Gold,RWA
4853,BlackRock BUIDL,RWA
5397,Bitlayer Bridge,Bridge
231,Lightning Network,Payments
2535,tBTC,Decentralized BTC
1765,UNCX Network V2,Token Locker
3558,StakeStone STONE,Liquid Staking
467,Benqi Lending,Lending
1427,Benqi Staked Avax,Liquid Staking
270,Liquity,CDP
2221,Frax Ether,Liquid Staking
5312,Avalon USDa,CDP
3323,NAVI Lending,Lending
1918,Aura,Yield
4274,Suilend,Lending
4672,UniRouter,Bridge
458,Save,Lending
2570,marginfi Lending,Lending
5026,Noble,Chain
2369,Phemex,CEX
3391,Liquid Collective,Liquid Staking
5011,Lisk Bridge,Chain
2228,Aries Markets,Lending
4878,Franklin Templeton,RWA
4067,dYdX V4,Derivatives
5295,uniBTC Restaked,Restaked BTC
3354,slisBNB,Liquid Staking
4922,PumpBTC,Bridge
3014,Morpho AaveV3,Lending
3667,Amnis Finance,Liquid Staking
283,Orca,Dexes
4831,Stargate V2,Cross Chain
412,Thorchain,Dexes
5359,Solayer Restaking,Restaking
2931,BlazeStake,Liquid Staking
143,Flexa,Payments
3947,DeSyn Safe,Farm
831,VVS Standard,Dexes
177,Defi Saver,CDP Manager
4446,Synthetix V3,Derivatives
5209,ObeliskBTC,Bridge
4141,B2 Buzz,Chain
326,Beefy,Yield Aggregator
3005,SUNSwap V2,Dexes
3542,Tonstakers LSD,Liquid Staking
5131,Treehouse Protocol,Liquid Staking
4637,BounceBit Staking,Bridge
2901,Swell Liquid Staking,Liquid Staking
3287,TruStake,Liquid Staking
2237,Axelar,Bridge
5140,Elixir,Yield
122,Nexus Mutual,Insurance
3786,Scroll Bridge,Chain
626,Reserve Protocol,Indexes
502,Coinwind,Yield
2346,WOO X,CEX
3861,RSK Bridge,Chain
217,Connext,Bridge
4559,Hive Protocol,Chain
4859,BingX,CEX
3243,ZeroLend,Lending
4741,Summer.fi,CDP Manager
5248,Fuel Bridge,Bridge
2289,Cetus AMM,Dexes
5455,Nexus BTC,Bridge
2858,GLIF,Liquid Staking
4078,Swell Liquid Restaking,Liquid Restaking
5450,BounceBit CeDeFi Yield,Basis Trading
113,Yearn Finance,Yield Aggregator
2062,Kamino Liquidity,Liquidity manager
2038,lisUSD,CDP
4956,Echo Bridge,Bridge
4335,zkLink Nova,Chain
5051,Echo Lending,Lending
1546,Burrow,Lending
115,Synthetix,Synthetics
1807,PinkSale,Launchpad
4810,Chiliz Governance Staking,Chain
2950,Origin Ether,Liquid Staking
119,SushiSwap,Dexes
225,Enzyme Finance,Indexes
4414,Thorchain Lending,CDP
4368,Sanctum Infinity,Dexes
3711,Volo,Liquid Staking
1327,Astar dApps Staking,Chain
4042,CoinDCX,CEX
1853,Moonwell,Lending
4553,MorpheusAI,AI Agents
1740,LiNEAR Protocol,Liquid Staking
4917,BitFi,Anchor BTC
5376,CIAN Yield Layer,Yield Aggregator
4518,Colend Protocol,Lending
1207,Across,Cross Chain
3091,Equilibria,Yield
5311,SpringSui,Liquid Staking
3489,Haedal Protocol,Liquid Staking
1961,Scallop Lend,Lending
5179,Bybit Staked SOL,Liquid Staking
4148,Meteora DLMM,Dexes
5448,Hyperliquid HLP,Derivatives
5234,USDX Money,Basis Trading
4690,Lorenzo,Restaked BTC
249,StakeDAO,Yield
4032,Manta Pacific,Chain
557,Meta Pool Near,Liquid Staking
4869,Buzz Farming,Farm
4638,BounceBit Premium,Basis Trading
5244,Kelp GAIN,Yield Aggregator
1453,EOS REX,Lending
797,Katana DEX,Dexes
4742,Instadapp Lite,Yield Aggregator
5055,IBC,Bridge
3785,Polygon zkEVM Bridge,Chain
2491,Liqwid,Lending
2337,STON.fi,Dexes
1864,Team Finance,Token Locker
2974,Extra Finance,Leveraged Farming
1023,Overnight USD+,CDP
4548,Mezo Network,Bridge
2994,crvUSD,CDP
4439,PulseChain Bridge,Chain
5374,Pulsechain,Chain
2223,Meteora vaults,Yield Aggregator
2235,gALGO Liquid Governance,Liquid Staking
591,Multichain,Bridge
3934,StackingDAO,Liquid Staking
657,Synapse,Cross Chain
4692,Taiko Bridge,Chain
1115,Tectonic,Lending
2366,NEOPIN Staking,Staking Pool
3804,Thala LSD,Liquid Staking
5143,Lombard Vault,Yield
504,Mento,Algo-Stables
2900,Wasabi,Derivatives
243,Flamincome,Yield Aggregator
4721,Yei Finance,Lending
4421,AILayer farm,Farm
4223,Ring Few,Yield
4199,Thruster V3,Dexes
4158,Crypto.com Staked ETH,Liquid Staking
4427,Merchant Moe Liquidity Book,Dexes
4178,Manta Atlantic Stake,Chain
4456,Particle DUO,CDP
2168,Morpho Aave,Lending
1494,Minswap,Dexes
4662,Manta CeDeFi,Basis Trading
2076,Fraxlend,Lending
5101,Avalon CeDeFi,Anchor BTC
1979,SaucerSwap,Dexes
2832,Bedrock uniETH,Liquid Restaking
2825,Nostra Money Market,Lending
3912,Dinero (pxETH),Liquid Staking
5023,Manta MYield,Basis Trading
5043,Abacus,Governance Incentives
4323,Aera,Treasury Manager
1571,Stargate V1,Cross Chain
4054,INIT Capital,Lending
753,RealT Tokens,RWA
4980,Spiko,RWA
2251,Stride,Liquid Staking
4367,Echelon Market,Lending
5053,Bitunix,CEX
4111,Sygma,Bridge
3060,PulseX V2,Dexes
425,Tranchess Yield,Yield
4070,Ionic Protocol,Lending
4384,RSS3 Bridge,Chain
3057,OpenEden T-Bills,RWA
4847,Astherus Perps,Derivatives
331,MoneyOnChain,Decentralized Stablecoin
1883,iZiSwap,Dexes
337,GMX V1,Derivatives
2402,Veno Finance,Liquid Staking
4033,SiloStake,Liquid Staking
383,Osmosis DEX,Dexes
3265,Agni Finance,Dexes
4558,BOB Bridge,Bridge
3995,Parasail,Restaking
2617,DeDust,Dexes
3247,Hatom Lending,Lending
2792,Camelot V3,Dexes
3216,bemo,Liquid Staking
5460,Upshift,Yield Aggregator
4928,BigONE,CEX
160,Homora V2,Leveraged Farming
4596,Mitosis,Liquid Restaking
1108,Gearbox,Leveraged Farming
5046,Drift Staked SOL,Liquid Staking
1642,Folks Finance Lending,Lending
190,dHEDGE,Indexes
5375,Zircuit,Chain
4194,Cellana Finance,Dexes
1738,Bifrost Liquid Staking,Liquid Staking
2020,Silo Finance,Lending
711,Polymarket,Prediction Market
3388,Sanctum Reserve,Yield
5292,Lorenzo enzoBTC,Bridge
4995,Helius Staked SOL,Liquid Staking
172,Index Coop,Indexes
2309,Indigo,CDP
4265,Superstate USTB,RWA
5153,TakoTako,Lending
1173,JPool,Liquid Staking
3636,Aftermath afSUI,Liquid Staking
4735,Syrup.fi,Yield
3923,Derive V2,Derivatives
3259,Aftermath AMM,Dexes
4744,Anzen V2,RWA
1881,Toros,Yield
4544,Pencils Protocol,Farm
266,Set Protocol,Indexes
3643,Amphor,Yield
4794,Joe V2.2,Dexes
3250,LayerBank,Lending
1320,Railgun,Privacy
4205,Cygnus Finance,RWA
385,Meteora pools,Dexes
4031,SUNSwap V3,Dexes
3179,GoGoPool,Liquid Staking
3570,marginfi LST,Liquid Staking
4154,Orby Network,CDP
438,Tokemak,Yield
801,cBridge,Bridge
355,Gamma,Liquidity manager
4579,Flipster,CEX
641,Arrakis V1,Liquidity manager
3302,Velodrome V2,Dexes
2899,Vertex Perps,Derivatives
3208,UNCX Network V3,Token Locker
4208,Juice Finance,Leveraged Farming
2187,Dolomite,Lending
541,Ref Finance,Dexes
4712,Splash Protocol,Dexes
1863,Ceres Demeter,Yield
3943,Lolik Liquid Staking,Liquid Staking
2993,NodeDAO,Liquid Staking
126,Loopring,Dexes
2433,Inverse Finance FiRM,CDP
4751,The Vault,Liquid Staking
2378,stake.link liquid,Liquid Staking
1602,Lenfi,Lending
5241,M0,RWA
5002,Lulo,Yield Aggregator
2921,Blur Lending,NFT Lending
3439,Hydration,Dexes
3248,Hatom Liquid Staking,Liquid Staking
207,Unslashed,Insurance
135,Kava Mint,CDP
5438,Chakra,Restaked BTC
278,Ankr,Liquid Staking
3936,zkSync Lite Bridge,Chain
204,Alchemix,Synthetics
140,Kava Lend,Lending
3393,TermFinance,Lending
468,Joe DEX,Dexes
1796,Poly Network,Bridge
3603,sDAI,CDP
4129,Edgevana,Liquid Staking
141,Outcome Finance,Synthetics
5091,Lair Finance,Liquid Staking
3602,Contango V2,Derivatives
2925,WEMIX.FI Staking,Staking Pool
3499,Ekubo,Dexes
3421,Mendi Finance,Lending
3344,fx Protocol,CDP
3998,IDEX V1,Dexes
3293,Gravity Bridge,Bridge
5045,BloFin,CEX
3193,stUSDT,RWA
1046,Ouchi Finance,Dexes
2139,Sommelier,Yield Aggregator
1995,Bancor V3,Dexes
2789,Thala CDP,CDP
2414,Blur Bids,NFT Marketplace
2239,Quickswap V3,Dexes
2554,BendDAO APE Staking,Yield
4938,Meso Finance,Lending
4924,XRPL DEX,Dexes
4602,vfat.io,Yield Aggregator
5044,Euler V2,Lending
4043,LiquidLoans,CDP
1901,DxSale,Launchpad
2210,LiquidSwap,Dexes
1793,Bwatch,Indexes
2728,SyncSwap,Dexes
854,xExchange,Dexes
2405,FlokiFi Locker,Token Locker
1878,ApeX Pro,Derivatives
3083,Penpie,Yield
5253,Lorenzo stBTC,Anchor BTC
3598,Mountain Protocol,RWA
4215,SynFutures V3,Derivatives
1849,Acala Liquid Staking,Liquid Staking
1466,ALEX,Dexes
347,Abracadabra Spell,CDP
3117,Astroport,Dexes
1272,ioTube,Bridge
3778,Arbitrum Nova Bridge,Chain
5238,alloBTC,Restaked BTC
3791,Maya Protocol,Cross Chain
5176,Rumpel Labs,Synthetics
2844,Sovryn Zero,CDP
2797,Aevo Perps,Derivatives
4848,AlphaFi,Yield Aggregator
2864,THENA FUSION,Dexes
5342,Ourbit,CEX
4651,Superposition,Lending
5066,Dragon Swap V3,Dexes
1952,Lofty,RWA
3964,Stakee,Liquid Staking
2205,Pando Leaf,CDP
3206,Bucket Protocol,CDP
2667,Arrakis V2,Liquidity manager
654,Beethoven X DEX,Dexes
5283,Hourglass,Yield
4007,Cakepie,Yield
4321,Curve LlamaLend,Lending
5112,Pionex,CEX
4084,Hydro Protocol,Liquid Staking
2776,SushiSwap V3,Dexes
144,dYdX V3,Derivatives
3361,Alien Base V2,Dexes
5182,Sygnum FIUSD Liquidity Fund,RWA
435,Hop Protocol,Cross Chain
475,Yield Yak Aggregator,Yield Aggregator
306,Quickswap Dex,Dexes
2298,Coinsquare,CEX
253,BiFi,Lending
2819,STFIL,Liquid Staking
4702,Immutable zkEVM,Chain
2795,ThalaSwap,Dexes
4822,Apex Omni,Derivatives
4991,Swell BTC LRT,Yield Aggregator
2231,Tangible RWA,RWA
2111,UwU Lend,Lending
2507,BitVenus,CEX
2707,SPL Governance,Governance Incentives
2121,Frax Swap,Dexes
2397,Gyroscope Protocol,Dexes
4237,Mode Bridge,Chain
3079,zkLend,Lending
520,Youves,Synthetics
4420,Zest,Lending
173,Badger DAO,Yield Aggregator
3245,Venus Isolated Pools,Lending
1025,Wrapped,Bridge
954,REX Staking,Lending
4312,Service Nervous Systems,Governance Incentives
4537,VenomStake,Liquid Staking
4747,Capybara Dexs,Dexes
5156,Cygnus Restake,Farm
3944,Allbridge Core,Bridge
680,Tinyman,Dexes
4266,Backpack,CEX
5284,Nest Staking,RWA
4585,Endurance Bridge,Bridge
2537,Flux Finance,Lending
3139,ImmutableX,NFT Marketplace
1018,Gains Network,Derivatives
345,Alpaca Leveraged Yield Farming,Leveraged Farming
4998,Dexalot Portfolio,Bridge
5232,SuiBridge,Chain
756,Angle,CDP
1544,Concentrator,Yield
4994,Bonk Staked SOL,Liquid Staking
4772,Jellyverse,Dexes
5120,Superstate USCC,Basis Trading
5271,Swaylend,Lending
1772,APX Finance,Derivatives
2266,Kava Earn,Yield Aggregator
2262,Kava Liquid,Liquid Staking
5415,Arkham Exchange,CEX
4139,DragonSwap V3,Dexes
2939,Kriya AMM,Dexes
4198,EVAA Protocol,Lending
3438,Baklava Space,Yield
874,ICHI,Liquidity manager
3888,Alien Base V3,Dexes
329,Sovryn Dex,Dexes
1315,NeoBurger,Liquid Staking
2992,Gravita Protocol,CDP
3329,KiloEx,Derivatives
2484,Djed Stablecoin,Decentralized Stablecoin
4126,Beethoven X sFTMx,Liquid Staking
4191,MerlinSwap,Dexes
2479,DeltaPrime,Leveraged Farming
2284,WOOFi Earn,Yield
4767,XLink,Bridge
5327,unagiswap,Dexes
1524,Mars Protocol,Lending
4376,POWERCITY Earn Protocol,CDP
3171,Kinza Finance,Lending
5330,Bitget SOL,Liquid Staking
4015,Deepr Finance,Lending
